date,open,close,high,low,volume,money
2016/1/4 9:30,226.7,226.3,226.85,226.2,15858,3591937000
2016/1/4 10:00,226.3,226.4,226.5,226.2,10332,2338676200
2016/1/4 10:45,226.4,226.7,226.8,226.35,10786,2443257700
2016/1/4 11:15,226.7,226.6,226.85,226.55,6650,1507463100
2016/1/4 13:45,226.6,227.75,228,226.6,24040,5465719000
2016/1/4 14:15,227.7,227.85,228.5,227.7,30924,7053287800
2016/1/4 14:45,227.85,228.1,228.25,227.8,10904,2486586000
2016/1/4 21:15,228.15,228.8,229.2,228,22052,5040922700
2016/1/4 21:45,228.75,229.65,230.1,228.75,47096,10814553300
2016/1/4 22:15,229.6,229.9,230.2,229.6,17872,4108551700
2016/1/4 22:45,229.9,230.1,230.1,229.7,7782,1789054800
2016/1/4 23:15,230.1,230.55,230.8,230.05,26120,6018709900
2016/1/4 23:45,230.6,230,230.6,229.85,19968,4595677400
2016/1/5 0:15,229.95,229.7,230,229.6,12356,2839316400
2016/1/5 0:45,229.7,228.55,229.85,228.45,21626,4953760600
2016/1/5 1:15,228.55,229.25,229.35,228.5,7740,1772153300
2016/1/5 1:45,229.25,229.45,229.75,229.1,5482,1257700700
2016/1/5 2:15,229.45,229.45,229.55,229.35,1704,391024800
2016/1/5 9:15,229.45,229.45,229.9,229.4,10530,2418388700
2016/1/5 9:45,229.5,229.35,229.55,229.2,10590,2428948400
2016/1/5 10:15,229.35,229.5,229.6,229.3,7030,1613072900
2016/1/5 11:00,229.5,229.45,229.55,229.35,6110,1401916300
2016/1/5 11:30,229.45,229.8,229.85,229.45,5128,1177551300
2016/1/5 14:00,229.9,230.1,230.25,229.75,17654,4060951400
2016/1/5 14:30,230.15,230.1,230.15,229.8,8570,1971013600
2016/1/5 15:00,230.1,230.3,230.4,229.9,13410,3086270900
2016/1/5 21:30,230.5,230.2,230.85,230,34982,8059323900
2016/1/5 22:00,230.2,229.25,230.25,229.25,18686,4294940100
2016/1/5 22:30,229.25,229.7,229.8,229.2,18370,4216462900
2016/1/5 23:00,229.7,229.55,229.85,229.35,9712,2229627100
2016/1/5 23:30,229.5,229.8,229.95,229.4,11842,2720463600
